scheme,alpha,L,qrsr_mean,qrsr_std,drsr_mean,drsr_std
path_oram_baseline,0,10,0.0,0.0,0.0,0.0
seal,0,10,0.8650000000000002,0.057227615711297974,0.11778417275327495,0.015189747522531487
seal,1,10,0.8650000000000002,0.057227615711297974,0.11778764194164737,0.015171310602514473
seal,2,10,0.8650000000000002,0.057227615711297974,0.1177792603024812,0.015196397415333664
seal,3,10,0.8650000000000002,0.057227615711297974,0.11780702633859703,0.015136528476932512
seal,4,10,0.8650000000000002,0.057227615711297974,0.11777622005333346,0.015176787680110092
path_oram_baseline,0,50,0.0,0.0,0.0,0.0
seal,0,50,0.8150000000000001,0.03570714214271423,0.0842435610069007,0.00222004671624616
seal,1,50,0.8150000000000001,0.03570714214271423,0.08424004509672052,0.0022250648018712848
seal,2,50,0.8150000000000001,0.03570714214271423,0.08424483435949509,0.002220194634367783
seal,3,50,0.8150000000000001,0.03570714214271423,0.08424704155554087,0.002233119884457246
seal,4,50,0.8150000000000001,0.03570714214271423,0.08425452290726283,0.002204536834273773
path_oram_baseline,0,100,0.0,0.0,0.0,0.0
seal,0,100,0.806,0.029563490998188943,0.07394639631071526,0.0011214218308580961
seal,1,100,0.806,0.029563490998188943,0.07394961197759634,0.0011168140574016956
seal,2,100,0.806,0.029563490998188943,0.07393375729755264,0.001105185396940123
seal,3,100,0.806,0.029563490998188943,0.07396135586955092,0.0011049037457270252
seal,4,100,0.806,0.029563490998188943,0.07395822911597502,0.0011083369888066938
