scheme,alpha,pattern,num_ops,seconds,avg_bandwidth_bytes,avg_buckets_read,avg_buckets_written
path_oram,0,uniform,1000,0.10483925000880845,10752.0,21.0,21.0
seal,0,uniform,1000,0.11598704100470059,10752.0,21.0,21.0
seal,1,uniform,1000,0.10845483400044031,10240.0,20.0,20.0
seal,2,uniform,1000,0.10098337501403876,9728.0,19.0,19.0
seal,3,uniform,1000,0.1016979579871986,9216.0,18.0,18.0
seal,4,uniform,1000,0.08951429100125097,8704.0,17.0,17.0
