scheme,alpha,L,qrsr_mean,qrsr_std,drsr_mean,drsr_std
path_oram_baseline,0,10,0.0,0.0,0.0,0.0
seal,0,10,0.8800000000000001,0.039999999999999994,0.11869496965192539,0.015627445049150618
seal,1,10,0.8800000000000001,0.039999999999999994,0.1186903573336668,0.01563992432270044
seal,2,10,0.8800000000000001,0.039999999999999994,0.11868146472482696,0.015644959336779056
seal,3,10,0.8800000000000001,0.039999999999999994,0.11871637433476216,0.015603581669727501
seal,4,10,0.8800000000000001,0.039999999999999994,0.11870436345640448,0.015634116107083165
path_oram_baseline,0,50,0.0,0.0,0.0,0.0
seal,0,50,0.833,0.051487862647424,0.08399402474845606,0.00226138462090004
seal,1,50,0.833,0.051487862647424,0.08398139551534181,0.0022622921433190085
seal,2,50,0.833,0.051487862647424,0.08398640706697444,0.002252735864159353
seal,3,50,0.833,0.051487862647424,0.08399265350042145,0.0022523349266100794
seal,4,50,0.833,0.051487862647424,0.08398043024617838,0.0022613659037590108
path_oram_baseline,0,100,0.0,0.0,0.0,0.0
seal,0,100,0.8109999999999999,0.02527844931952905,0.07395524869120321,0.0011777977647588393
seal,1,100,0.8109999999999999,0.02527844931952905,0.07393911909009981,0.001181933958005583
seal,2,100,0.8109999999999999,0.02527844931952905,0.07395772613526894,0.001182923142072702
seal,3,100,0.8109999999999999,0.02527844931952905,0.07393934521781065,0.001184382389933927
seal,4,100,0.8109999999999999,0.02527844931952905,0.07393864970694698,0.0011961859443126502
